"","Province","Country","Confirmed","Deaths","Recovered","DateRep","countries","dia","ln","population","yearChange","netChange","density","landArea","migrants","fertRate","medAge","urbanPop","worldShare","GeoId","pop1m","S","I","R"
"102",NA,"Luxembourg",1,0,0,2020-03-05,"Luxembourg",4,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625977,1,0
"103",NA,"Poland",1,0,0,2020-03-05,"Poland",1,21,37846611,"-0,11%",-41157,124,306230,-29395,1.4,42,"60%","0,49%","PL",37.8,37846610,1,0
"104",NA,"Italy",4636,197,523,2020-03-06,"Italy",5,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60456470,4636,720
"105",NA,"Germany",670,0,17,2020-03-06,"Germany",5,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783255,670,17
"106",NA,"France",653,9,12,2020-03-06,"France",5,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65272837,653,21
"107",NA,"Spain",400,5,2,2020-03-06,"Spain",5,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754371,400,7
"108",NA,"Netherlands",128,1,0,2020-03-06,"Netherlands",5,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134743,128,1
"109",NA,"Belgium",109,0,1,2020-03-06,"Belgium",5,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589513,109,1
"110",NA,"Sweden",101,0,0,2020-03-06,"Sweden",5,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099164,101,0
"111",NA,"Austria",55,0,0,2020-03-06,"Austria",5,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006343,55,0
"112",NA,"Greece",45,0,0,2020-03-06,"Greece",5,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423009,45,0
"113",NA,"Denmark",23,0,1,2020-03-06,"Denmark",5,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792178,23,1
"114",NA,"Czechia",18,0,0,2020-03-06,"Czechia",5,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708963,18,0
"115",NA,"Ireland",18,0,0,2020-03-06,"Ireland",5,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937768,18,0
"116",NA,"Finland",15,0,1,2020-03-06,"Finland",5,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540704,15,1
"117",NA,"Portugal",13,0,0,2020-03-06,"Portugal",4,22,10196709,"-0,29%",-29478,111,91590,-6000,1.3,46,"66%","0,13%","PT",10.2,10196696,13,0
"118",NA,"Croatia",11,0,0,2020-03-06,"Croatia",5,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105256,11,0
